Artist ID,Artist Name,Track ID,Track Name,Popularity Score
6LuN9FCkKOj5PcnpouEgny,Khalid,6TqXcAFInzjp0bODyvrWEq,Talk,80
6LuN9FCkKOj5PcnpouEgny,Khalid,2XKFnwB6djxrJCjR3PdeRb,My Bad,80
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,3npzogdOEiVsieXmmhBepL,The Bones,87
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),87
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2hloaUoRonYssMuqLCBLTX,bloodline,88
6LuN9FCkKOj5PcnpouEgny,Khalid,5BfMJ6iytQnu1r7iiCYSXe,Intro,79
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,2MJdgSby3DtSS7bUJx2cly,Red Room,85
4xRYI6VqpkE3UwrDrAZL8L,Logic,25F6MWrnFBCXVnpN4n76EK,Keanu Reeves,85
6LuN9FCkKOj5PcnpouEgny,Khalid,339Y993TrFyWyO438be0RY,Better,78
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,6X29iaaazwho3ab7GNue5r,8,87
6LuN9FCkKOj5PcnpouEgny,Khalid,42w7pX3r1TpLR0i55Ek5ND,Bluffin',77
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,5Il6Oe7lr5XM7A0cWbVQtr,bad idea,87
6LuN9FCkKOj5PcnpouEgny,Khalid,12VqHHz4wvVcnEdSivjLeQ,Alive,77
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,7uH27oIt4a6cIFCA8ZPcyG,Baila Baila Baila,95
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,6ya8ejoKgw906Y8LWclqrp,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),85
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3wFLWP0FcIqHK1wb1CPthQ,fake smile,86
6LuN9FCkKOj5PcnpouEgny,Khalid,0Hgqglypzt6Qs5Duqskcqs,Heaven,76
2R21vXR83lH98kGeO99Y66,Anuel Aa,5W83ErFkO3aKAIS1WMi6u0,Secreto,95
6LuN9FCkKOj5PcnpouEgny,Khalid,1WqLtczgKdbHFHhefOU0y7,Self,76
