Track ID,Artist Name,Track Name,Danceability,Energy,Loudness,Valence,Tempo,Popularity
3wTAHJaRDYpsCfVY1EMaky,Miguel,Never Gonna Change,0.81,0.902,-7.583,0.832,120.997,0
7pj2C5YizoKX6B10aeCl3T,Fall Out Boy,"Sugar, We're Goin Down",0.5,0.814,-4.565,0.671,161.958,0
0IeqXMhgnqmNN24HUPI8Xx,Anitta,Menina má,0.748,0.902,-4.973,0.961,130.103,0
6GvLWrqCv92RAXtxV99yZy,Lady Gaga,Money Honey,0.775,0.756,-3.231,0.831,119.004,0
4XEyiHcye8aWIf8YJJH46b,Sia,Sweet Potato,0.562,0.573,-8.159,0.335,122.04,0
0EQsVfMcAZTTSr4cB6pCP2,P!nk,Raise Your Glass,0.7,0.713,-4.96,0.609,122.041,0
2dk8qkQR0BQy5KN42gWOsk,PnB Rock,Go To Mars (feat. Tee Grizzley),0.788,0.76,-3.573,0.524,82.498,0
6BKPEw91L4lnevp4FYV3VY,PnB Rock,Go To Mars (feat. Tee Grizzley),0.776,0.791,-3.45,0.529,82.5,0
5hnbE5BF2e8BCk9OMR1UVC,BTS,Mikrokosmos,0.58,0.858,-5.212,0.475,174.039,0
5oUnVKzkdNTaLtn4EnJjEP,Justin Timberlake,Mirrors - Radio Edit,0.57,0.569,-6.603,0.62,76.95,0
3OtHNyiaYaQgQlGagvhEku,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.8,0.846,-7.349,0.826,116.029,0
5KLZLlP1kWt3JReb53WeAj,2 Chainz,Live And Learn (It Will),0.643,0.802,-5.705,0.396,76.266,0
3UvCHGbVtl6poLz3pnQNI7,Anderson .Paak,Jet Black (feat. Brandy),0.797,0.608,-7.25,0.509,108.24,0
