Artist ID,Artist Name,Genres
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"['canadian hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']"
6AgTAQt8XS6jRWi4sX7w49,Polo G,"['chicago rap', 'vapor trap']"
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"['dance pop', 'pop', 'post-teen pop']"
7meyrw7Or5DwteYxDJrkCM,YK Osiris,"['deep pop r&b', 'trap music']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,['vapor trap']
3Fl1V19tmjt57oBdxXKAjJ,Blueface,"['cali rap', 'trap music']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,['electropop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
1KCSPY1glIKqW2TotWuXOR,P!nk,"['dance pop', 'pop', 'post-teen pop']"
246dkjvS1zLTtiykXe5h60,Post Malone,"['pop', 'rap']"
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
6LuN9FCkKOj5PcnpouEgny,Khalid,['pop']
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,['chicago rap']
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"['emo rap', 'lgbtq+ hip hop']"
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,"['british indie rock', 'modern rock']"
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
4xRYI6VqpkE3UwrDrAZL8L,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']"
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"['philly rap', 'rap', 'trap music']"
